,skills
41,Azure Cloud
41,Azure Machine learning
41,Spark
41,Python
41,Azure Devops
42,Data Analysis
42,Business Analysis
42,Hive
42,Tableau
42,Python
42,Sql
43,R
43,Power Bi
43,Tableau
43,Python
43,Sql
44,Google Data Studio
44,Quicksight
44,AWS Glue
44,Tableau
44,Sql
44,Python
45,AWS cloud services
45,Python
45,Sql
45,Hadoop
45,Kafka
45,Spark
46,Vba
46,Spark
46,Python
46,Sql
47,Druid
47,Google Data Studio
47,data access tools
47,Lumos
47,statistical methods
47,Time Series Analysis
48,Data Analysis
48,Data Management
48,Python
48,Sql
49,R
49,Looker Studio
49,statistical methods
49,Power Bi
49,Tableau
49,Sql
49,Python
50,Actuarial knowledge
50,Data analysis automation
50,Power Bi
50,Data Visualization
50,Vba
50,Data Transformation
50,Data Analytics
50,Python
50,Sql
51,Power Bi
51,Tableau
51,Python
51,Sql
52,ChatGPT
52,Excel
52,Sql
53,R
53,Looker
53,ETL pipelines
53,Power Bi
53,MySQL
53,Data Warehouse Architecture
53,Tableau
53,Python
53,Google Cloud
53,Sql
53,AWS
54,Microsoft Power Platform
54,Sharepoint
54,cloud platforms
54,MS SQL
54,Powerbi
54,Knime
54,Python
55,Shiny
55,R
55,Sharepoint
55,Java
55,Sql
55,HTML
55,Django
55,Visual Basic
55,Flask
55,Xml
55,Excel
55,Python
56,Business Intelligence
56,Analytics
56,data engineering
56,Data Analytics
56,Python
56,Sql
57,Data evaluation
57,Data visualization tools
57,Analytics skills
57,Data Visualization
57,Excel
57,Sql
58,Precisely
58,data governance tools
58,Collibra
58,Excel
58,Informatica
59,Powerbi
59,Tableau
59,Excel
59,Data Modelling
59,Sql
59,Python
59,ELT
59,Etl
60,Microsoft Power Platform
60,Sharepoint
60,cloud platforms
60,MS SQL
60,Powerbi
60,Knime
60,Python
61,Shiny
61,R
61,Sharepoint
61,Java
61,Sql
61,HTML
61,Django
61,Visual Basic
61,Flask
61,Xml
61,Excel
61,Python
62,R
62,Looker
62,ETL pipelines
62,Power Bi
62,MySQL
62,Data Warehouse Architecture
62,Tableau
62,Python
62,Google Cloud
62,Sql
62,AWS
63,Precisely
63,data governance tools
63,Collibra
63,Excel
63,Informatica
64,R
64,Data Entry
64,Data Cleaning
64,Power Bi
64,Excel
64,Python
64,Sql
64,Statistical Analysis
65,RAG Retrieval-Augmented Generation tools
65,Plotly
65,Scikit-Learn
65,Dash
65,Scipy
65,SQL Server
65,Sql
65,Numpy
65,Django
65,Pandas
65,Docker
65,Restful Apis
65,Kubernetes
65,Python
65,AWS
66,R
66,Pyspark
66,PowerShell
66,Apache Spark
66,Tableau
66,Sql
66,Git
66,Javascript
66,Powerbi
66,Zoho
66,Microsoft Excel
66,Python
67,Metabase
67,BigQuery
67,Tableau
67,Sql
68,Macros
68,Microsoft Excel
69,Google Cloud Platform
69,Bi Reporting Tools
70,Project Management
70,Data Analysis
70,Data Management
70,Spark
70,Agile Development Methodologies
70,Data Governance
70,Python
70,Sql
71,Data Pipelines
71,Data Democratisation
71,Prescriptive Analytics
71,Business Intelligence
71,data engineering
71,Data Analytics
72,Data Compliance and Auditing
72,Data protection regulations
72,Data Classification and Security
72,Data visualisation tools
72,Data Quality Management
72,Data Governance Policies and Standards
72,Data Visualisation
73,CFT
73,R
73,Aml
73,Machine Learning
73,Powerbi
73,Qlik
73,Tableau
73,Sql
74,De-identification
74,Shiny
74,Data Storage
74,Data anonymization
74,Ai
74,Re-identification
74,Statistical Modeling
74,R
74,Sharepoint
74,Java
74,Ml
74,HTML
74,Sql
74,Django
74,Visual Basic
74,Machine Learning
74,Xml
74,Flask
74,Excel
74,Python
75,R
75,Plotly
75,statistical software
75,Scikit-Learn
75,Numpy
75,Scipy
75,Pandas
75,Tableau
75,Python
75,AWS
76,M Query
76,DirectQuery
76,Javascript Frameworks
76,Microsoft Power Bi
76,Reactjs
76,PostgreSQL
76,Nodejs
76,Power Query
76,Dax
76,Python
77,Basic to intermediate SQL knowledge
77,Advanced Python knowledge
78,R
78,Power Bi
78,Tableau
78,Google Analytics
78,Sql
78,Firebase
78,Python
79,Data Analysis
79,Excel
80,CFT
80,R
80,Aml
80,Machine Learning
80,Powerbi
80,Qlik
80,Tableau
80,Sql
81,CFT
81,R
81,Aml
81,Machine Learning
81,Powerbi
81,Qlik
81,Tableau
81,Sql
82,Word
82,Powerpoint
82,DFP
82,Project Management
82,adsense
82,Account Management
82,Data Analysis
82,Ad Operations
82,AdMob
82,Microsoft Office Suite
82,Sql
82,adx
82,Excel
83,Data Compliance and Auditing
83,Data protection regulations
83,Data Classification and Security
83,Data visualisation tools
83,Data Quality Management
83,Data Governance Policies and Standards
83,Data Visualisation
84,R
84,probability distributions
84,Regression
84,Qlik Sense
84,Hypothesis Testing
84,SAS
84,Tableau
84,Sql
84,Decision Trees
84,Spss
84,Excel
84,Python
85,data engineering
85,Unit Testing
85,Machine Learning Algorithms
85,Data Analytics
85,Python
86,Power Bi
86,Tableau
86,Msbi
86,Azure
86,Sql
86,AWS
87,R
87,Numpy
87,Pandas
87,Power Bi
87,Tableau
87,Sql
87,Python
88,RAG Retrieval-Augmented Generation tools
88,Plotly
88,Scikit-Learn
88,Dash
88,Scipy
88,SQL Server
88,Sql
88,Numpy
88,Django
88,Pandas
88,Docker
88,Restful Apis
88,Kubernetes
88,Python
88,AWS
89,R
89,Pyspark
89,PowerShell
89,Apache Spark
89,Tableau
89,Sql
89,Git
89,Javascript
89,Powerbi
89,Zoho
89,Microsoft Excel
89,Python
90,Bloomberg
90,API data
90,Powerbi
90,Tableau
91,Sql
91,Python
92,Problem-solving
92,analytical mindset
92,data classification
92,Interpersonal Skills
92,Collaboration
92,Data Management
92,Data Quality
92,Data Security
92,Data Visualization
93,Druid
93,Google Data Studio
93,data access tools
93,Lumos
93,statistical methods
93,Time Series Analysis
94,google suite
94,Ms Office
94,Sql
94,Python
95,data engineering
95,Unit Testing
95,Machine Learning Algorithms
95,Data Analytics
95,Python
96,Google Cloud Platform
96,Bi Reporting Tools
97,Metabase
97,BigQuery
97,Tableau
97,Sql
98,Data Automation
98,Segmentation Techniques
98,data models
98,Large Language Models
98,Power Bi
98,Data Mining
98,Xml
98,Sql
98,Etl
98,Database Design
99,segmentation techniques
99,AI applications
99,Looker Studios
99,Data Modelling
99,google sheets
99,PostgreSQL
99,data mining
99,Database Design
99,Hubspot
99,Sql
100,Data Compliance and Auditing
100,Data protection regulations
100,Data Classification and Security
100,Data visualisation tools
100,Data Quality Management
100,Data Governance Policies and Standards
100,Data Visualisation
101,R
101,probability distributions
101,Regression
101,Qlik Sense
101,Hypothesis Testing
101,SAS
101,Tableau
101,Sql
101,Decision Trees
101,Spss
101,Excel
101,Python
102,Power Bi
102,Tableau
102,Msbi
102,Azure
102,Sql
102,AWS
103,R
103,Pyspark
103,PowerShell
103,Apache Spark
103,Tableau
103,Sql
103,Git
103,Javascript
103,Powerbi
103,Zoho
103,Microsoft Excel
103,Python
104,Data Pipelines
104,Data Democratisation
104,Prescriptive Analytics
104,Business Intelligence
104,data engineering
104,Data Analytics
105,data engineering
105,Sql
105,Python
106,google suite
106,Ms Office
106,Sql
106,Python
107,data engineering
107,Unit Testing
107,Machine Learning Algorithms
107,Data Analytics
107,Python
108,R
108,probability distributions
108,Regression
108,Qlik Sense
108,Hypothesis Testing
108,SAS
108,Tableau
108,Sql
108,Decision Trees
108,Spss
108,Excel
108,Python
109,segmentation techniques
109,AI applications
109,Looker Studios
109,Data Modelling
109,google sheets
109,PostgreSQL
109,data mining
109,Database Design
109,Hubspot
109,Sql
110,Google Cloud Platform
110,Bi Reporting Tools
111,Data Automation
111,Segmentation Techniques
111,data models
111,Large Language Models
111,Power Bi
111,Data Mining
111,Xml
111,Sql
111,Etl
111,Database Design
112,Metabase
112,BigQuery
112,Tableau
112,Sql
113,Data Compliance and Auditing
113,Data protection regulations
113,Data Classification and Security
113,Data visualisation tools
113,Data Quality Management
113,Data Governance Policies and Standards
113,Data Visualisation
114,MSSQL Server Management Studio
114,Power Bi
114,Microsoft Sql Server
114,Excel
114,Sql
115,Shiny
115,R
115,Sharepoint
115,Java
115,HTML
115,Sql
115,Django
115,Visual Basic
115,Flask
115,Xml
115,Excel
115,Python
116,Data Services
116,Sql
117,Data Quality
117,Data Management
117,Data Migration
117,Power Bi
117,Data Governance
117,Sql
118,Power Bi
118,Tableau
118,Excel
118,Python
118,Sql
119,Basic to intermediate SQL knowledge
119,Advanced Python knowledge
120,M Query
120,DirectQuery
120,Javascript Frameworks
120,Microsoft Power Bi
120,Reactjs
120,PostgreSQL
120,Nodejs
120,Power Query
120,Dax
120,Python
121,R
121,Teradata
121,Tableau
121,Sql
121,Power Bi
121,Oracle
121,Qlikview
121,Python
121,Vba
121,SAS
121,Hadoop
122,R
122,Ai
122,Data Analytics
122,Machine Learning
122,Powerbi
122,SAS
122,Sql
122,Python
123,Business Intelligence
123,Tableau
123,Data Analytics
123,Sql
123,Python
124,R
124,Microstrategy
124,Oracle Db
124,Power Bi
124,PostgreSQL
124,Mssql
124,Python
125,quantitative tools
125,Presentation Software
125,logical data models
125,data management systems
125,data dictionaries
125,Databases
125,Reporting Tools
126,MS Access
126,OAS
126,R
126,UiPath RPA
126,Qlik Sense
126,OBIEE
126,Qlikview
126,SAS
126,Tableau
126,Power Bi
126,Ms Excel
126,Sql Query
126,Python
127,data visualisation tools
127,Python
127,Sql
128,Data Analysis
128,predictive models
128,statistical analyses
129,Data Analysis
129,Excel
130,Data Analysis
130,Excel
131,M Query
131,DirectQuery
131,Javascript Frameworks
131,Microsoft Power Bi
131,Reactjs
131,PostgreSQL
131,Nodejs
131,Power Query
131,Dax
131,Python
132,Macros
132,Power Bi
132,Tableau
132,Microsoft Excel
132,Sql
132,Python
133,Data Migration
133,Data Cleansing
133,Python
133,Sql
134,Powerpoint
134,Google BigQuery
134,Data Processing
134,Looker Studio
134,Power Bi
134,Tableau
134,Sql
134,Typescript
134,Javascript
134,Data Visualization
134,Data Governance
134,Excel
134,Python
134,Data Transformation
134,Etl
135,Linux
135,SQL Server
135,Windows
135,Python
135,AWS
136,Risk management principles
137,Data Quality Management
137,Business Analysis
137,Testing and Validation
137,It Service Management
137,Data Migration
137,Performance Monitoring
138,Power Bi
138,Tableau
138,Python
138,Sql
139,Sap Erp
139,Data Process Analytics Systems
139,SalesForce
139,Power Bi
139,Requirements Gathering
139,Microsoft Azure
139,Data Warehousing
139,Data Modelling
139,Dax
139,Sql
140,Cisco CCNP certification
140,Chef
140,Cisco products
140,optimization technologies
140,network routing and switching technologies
140,Algosec
140,network automation
140,Routers
140,network security
140,Switches
140,Bluecoat Proxy
140,Wlan
140,Cisco Aci
140,Palo Alto
140,Ansible
140,F5 Load Balancer
140,Checkpoint Firewall
140,Load Balancing
141,MSSQL Server Management Studio
141,Data quality principles
141,Crm Systems
141,Master Data Management
141,Data management tools
141,Sql Queries
141,Power Bi
141,Microsoft Sql Server
141,Data Governance
141,Excel
142,data quality principles
142,data governance best practices
142,Python
142,Sql
143,Business Analytics
143,Microsoft Power Platforms
143,SAP Modules
143,SAP master data
144,Agile framework
144,FITS
144,Powerpoint
144,Tableau
144,Excel
144,JIRA
144,Ms Office
145,Data Intelligence
145,Data Analysis
145,Data Catalogue
145,Business Intelligence
145,Data Cleaning
145,data wrangling
146,HPE Compute
146,Chef
146,VMWare
146,Puppet
146,Veeam
146,Powershell
146,Itil
146,Ansible
146,Json
146,Netbackup
146,AWS
146,Vsan
146,Python
146,Azure
146,Gcp
147,feedback loops
147,testing workflows
147,Performance Measurement
147,Llm
148,Powerbi
148,Azure
148,Sql
149,Pmp
149,SAP implementation methodologies
149,Cbap
149,Prince2
149,Sap Data Migration
149,Itil
150,Powerbi
150,Azure
150,Sql
151,feedback loops
151,testing workflows
151,Performance Measurement
151,Llm
152,Investment Data Domain Knowledge
152,Data Quality Checks
152,Documentation Support
152,data reconciliation
152,Data Management
152,Oracle Pl Sql
153,Power Apps
153,Git
153,Data Factory
153,Power Bi
153,Databricks
153,Python
153,Sql
153,Azure DevOps
154,data engineering
154,Unit Testing
154,Machine Learning Algorithms
154,Data Analytics
154,Python
155,data engineering
155,Unit Testing
155,Machine Learning Algorithms
155,Data Analytics
155,Python
156,Data Analysis
156,Kanban
156,Sybase
156,Scrum
156,Jira
156,Tsql
156,Oracle
156,Sql
157,Informatica IDMC
157,Data Cataloguing
157,Hadoop
157,Power Bi
157,Apache Spark
157,Tableau
157,Data Warehouse
157,Devops
157,Git
157,Docker
157,Advanced Analytics
157,Databricks
157,Aws Cloud
157,Data Governance
157,Kubernetes
158,Oracle System
158,Other ERP software
158,data visualization tools
158,automation
158,Oracle Ebs
158,Microsoft Excel
158,Sql
158,ELT
158,Etl
159,Data Quality Monitoring
159,Data Governance
159,Microsoft Excel
160,RPA solutions
160,ssi
160,Client Reference Data
160,Alteryx
160,Vba
160,Microsoft Excel
160,Python
160,Ui Path
161,
162,
163,
164,
165,
166,
167,
168,
169,
170,
171,
172,
173,
174,
175,
176,
177,
178,
179,
180,
181,
182,
